Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B05_U11_2609,detail,,[díːteil],n.,A <i>detail</i> is a small piece of information.,Jane told Ben all the <b>details</b> of her trip to China.,Jane told Ben all the {{c1::details}} of her trip to China.,"""<img src=""""4000EEW_B05_U11_2609.jpg"""" />""",[sound:4000EEW_B05_U11_2609.word.mp3],[sound:4000EEW_B05_U11_2609.definition.mp3],[sound:4000EEW_B05_U11_2609.example.mp3]
4000EEW_B05_U11_2610,diverse,,[divə́ːrs],adj.,"When a group of things is <i>diverse</i>, it is made up of a wide variety of things.",Big cities have <b>diverse</b> populations with people of different races and ages.,Big cities have {{c1::diverse}} populations with people of different races and ages.,"""<img src=""""4000EEW_B05_U11_2610.jpg"""" />""",[sound:4000EEW_B05_U11_2610.word.mp3],[sound:4000EEW_B05_U11_2610.definition.mp3],[sound:4000EEW_B05_U11_2610.example.mp3]
4000EEW_B05_U11_2611,enchant,,[intʃǽnt],v.,To <i>enchant</i> someone is to make them feel very interested or happy.,The beautiful woman <b>enchanted</b> everybody in the room.,The beautiful woman {{c1::enchanted}} everybody in the room.,"""<img src=""""4000EEW_B05_U11_2611.jpg"""" />""",[sound:4000EEW_B05_U11_2611.word.mp3],[sound:4000EEW_B05_U11_2611.definition.mp3],[sound:4000EEW_B05_U11_2611.example.mp3]
4000EEW_B05_U11_2612,equip,,[ikwíp],v.,To <i>equip</i> someone is to give them the things needed to do something.,Steve was <b>equipped</b> with the tools needed to do the job.,Steve was {{c1::equipped}} with the tools needed to do the job.,"""<img src=""""4000EEW_B05_U11_2612.jpg"""" />""",[sound:4000EEW_B05_U11_2612.word.mp3],[sound:4000EEW_B05_U11_2612.definition.mp3],[sound:4000EEW_B05_U11_2612.example.mp3]
4000EEW_B05_U11_2613,exception,,[iksépʃən],n.,An <i>exception</i> is someone or something not conforming to a rule.,"Most students thought the test was hard, but Tim was the <b>exception</b>.","Most students thought the test was hard, but Tim was the {{c1::exception}}.","""<img src=""""4000EEW_B05_U11_2613.jpg"""" />""",[sound:4000EEW_B05_U11_2613.word.mp3],[sound:4000EEW_B05_U11_2613.definition.mp3],[sound:4000EEW_B05_U11_2613.example.mp3]
4000EEW_B05_U11_2614,genre,,[ʒάːnrə],n.,"A <i>genre</i> is a type of literature, art, or music characterized by its style.",She is considered a master in the comedy <b>genre</b>.,She is considered a master in the comedy {{c1::genre}}.,"""<img src=""""4000EEW_B05_U11_2614.jpg"""" />""",[sound:4000EEW_B05_U11_2614.word.mp3],[sound:4000EEW_B05_U11_2614.definition.mp3],[sound:4000EEW_B05_U11_2614.example.mp3]
4000EEW_B05_U11_2615,impact,,[ímpækt],n.,An <i>impact</i> is the effect someone or something has.,My grandmother had a great <b>impact</b> on my life.,My grandmother had a great {{c1::impact}} on my life.,"""<img src=""""4000EEW_B05_U11_2615.jpg"""" />""",[sound:4000EEW_B05_U11_2615.word.mp3],[sound:4000EEW_B05_U11_2615.definition.mp3],[sound:4000EEW_B05_U11_2615.example.mp3]
4000EEW_B05_U11_2616,lure,,[luər],v.,To <i>lure</i> someone is to convince them to do something by using a trick.,The store <b>lures</b> people in with big signs that say “Sale!”,The store {{c1::lures}} people in with big signs that say “Sale!”,"""<img src=""""4000EEW_B05_U11_2616.jpg"""" />""",[sound:4000EEW_B05_U11_2616.word.mp3],[sound:4000EEW_B05_U11_2616.definition.mp3],[sound:4000EEW_B05_U11_2616.example.mp3]
4000EEW_B05_U11_2617,obstacle,,[ɑ́bstəkəl],n.,An <i>obstacle</i> is an object or a problem that stops you from doing something.,Climbing over the giant rock was the biggest <b>obstacle</b> for the hikers.,Climbing over the giant rock was the biggest {{c1::obstacle}} for the hikers.,"""<img src=""""4000EEW_B05_U11_2617.jpg"""" />""",[sound:4000EEW_B05_U11_2617.word.mp3],[sound:4000EEW_B05_U11_2617.definition.mp3],[sound:4000EEW_B05_U11_2617.example.mp3]
4000EEW_B05_U11_2618,shelter,,[ʃéltər],n.,A <i>shelter</i> is a place to go that is safe from danger or bad weather.,The frog took <b>shelter</b> from the storm in a nearby hold.,The frog took {{c1::shelter}} from the storm in a nearby hold.,"""<img src=""""4000EEW_B05_U11_2618.jpg"""" />""",[sound:4000EEW_B05_U11_2618.word.mp3],[sound:4000EEW_B05_U11_2618.definition.mp3],[sound:4000EEW_B05_U11_2618.example.mp3]
4000EEW_B05_U11_2619,supply,,[səplái],v.,To <i>supply</i> something means to give people what they need or want.,The water heater <b>supplied</b> the house with warm water.,The water heater {{c1::supplied}} the house with warm water.,"""<img src=""""4000EEW_B05_U11_2619.jpg"""" />""",[sound:4000EEW_B05_U11_2619.word.mp3],[sound:4000EEW_B05_U11_2619.definition.mp3],[sound:4000EEW_B05_U11_2619.example.mp3]
4000EEW_B05_U11_2620,vain,,[vein],adj.,"If people are <i>vain</i>, they are only concerned with how they look.",Rebecca is so <b>vain</b> that she looks at herself in every mirror.,Rebecca is so {{c1::vain}} that she looks at herself in every mirror.,"""<img src=""""4000EEW_B05_U11_2620.jpg"""" />""",[sound:4000EEW_B05_U11_2620.word.mp3],[sound:4000EEW_B05_U11_2620.definition.mp3],[sound:4000EEW_B05_U11_2620.example.mp3]
4000EEW_B05_U12_2621,alternative,,[ɔːltə́ːrnətiv],n.,An <i>alternative</i> is something that you can choose instead of your first choice.,"Her first plan to make extra money seemed weak, so she chose an <b>alternative</b>.","Her first plan to make extra money seemed weak, so she chose an {{c1::alternative}}.","""<img src=""""4000EEW_B05_U12_2621.jpg"""" />""",[sound:4000EEW_B05_U12_2621.word.mp3],[sound:4000EEW_B05_U12_2621.definition.mp3],[sound:4000EEW_B05_U12_2621.example.mp3]
4000EEW_B05_U12_2622,avenue,,[ǽvənjùː],n.,"An <i>avenue</i> is a road, often a large one with buildings on each side.",Drive down this <b>avenue</b> and then turn left to get to the park.,Drive down this {{c1::avenue}} and then turn left to get to the park.,"""<img src=""""4000EEW_B05_U12_2622.jpg"""" />""",[sound:4000EEW_B05_U12_2622.word.mp3],[sound:4000EEW_B05_U12_2622.definition.mp3],[sound:4000EEW_B05_U12_2622.example.mp3]
4000EEW_B05_U12_2623,belly,,[béli],n.,The <i>belly</i> is the stomach of a person or animal.,His <b>belly</b> was full because he had eaten a lot of food.,His {{c1::belly}} was full because he had eaten a lot of food.,"""<img src=""""4000EEW_B05_U12_2623.jpg"""" />""",[sound:4000EEW_B05_U12_2623.word.mp3],[sound:4000EEW_B05_U12_2623.definition.mp3],[sound:4000EEW_B05_U12_2623.example.mp3]
4000EEW_B05_U12_2624,bid,,[bid],n.,A <i>bid</i> to do something is an attempt to do it.,He made a <b>bid</b> to become the university’s next president.,He made a {{c1::bid}} to become the university’s next president.,"""<img src=""""4000EEW_B05_U12_2624.jpg"""" />""",[sound:4000EEW_B05_U12_2624.word.mp3],[sound:4000EEW_B05_U12_2624.definition.mp3],[sound:4000EEW_B05_U12_2624.example.mp3]
4000EEW_B05_U12_2625,blow,,[blou],v.,"To <i>blow</i> means to move air or move something through the air, as in the wind.",The wind is <b>blowing</b> very hard today. We should stay inside.,The wind is {{c1::blowing}} very hard today. We should stay inside.,"""<img src=""""4000EEW_B05_U12_2625.jpg"""" />""",[sound:4000EEW_B05_U12_2625.word.mp3],[sound:4000EEW_B05_U12_2625.definition.mp3],[sound:4000EEW_B05_U12_2625.example.mp3]
4000EEW_B05_U12_2626,conflict,,[kɑ́nflikt],n.,A <i>conflict</i> is a fight between different people or groups.,The two nations had a <b>conflict</b> over which one could use the water in the river.,The two nations had a {{c1::conflict}} over which one could use the water in the river.,"""<img src=""""4000EEW_B05_U12_2626.jpg"""" />""",[sound:4000EEW_B05_U12_2626.word.mp3],[sound:4000EEW_B05_U12_2626.definition.mp3],[sound:4000EEW_B05_U12_2626.example.mp3]
4000EEW_B05_U12_2627,continent,,[kɑ́ntənənt],n.,A <i>continent</i> is one of the seven large areas of land on the Earth.,Asia is the largest <b>continent</b>.,Asia is the largest {{c1::continent}}.,"""<img src=""""4000EEW_B05_U12_2627.jpg"""" />""",[sound:4000EEW_B05_U12_2627.word.mp3],[sound:4000EEW_B05_U12_2627.definition.mp3],[sound:4000EEW_B05_U12_2627.example.mp3]
4000EEW_B05_U12_2628,current,,[kə́ːrənt],n.,A <i>current</i> is a steady and constant flow of air or water in a river or ocean.,The ocean <b>currents</b> took the ship far of into the sea.,The ocean {{c1::currents}} took the ship far of into the sea.,"""<img src=""""4000EEW_B05_U12_2628.jpg"""" />""",[sound:4000EEW_B05_U12_2628.word.mp3],[sound:4000EEW_B05_U12_2628.definition.mp3],[sound:4000EEW_B05_U12_2628.example.mp3]
4000EEW_B05_U12_2629,disrespect,,[dìsrispékt],n.,<i>Disrespect</i> is rudeness or behavior that shows a lack of respect.,He showed <b>disrespect</b> by arguing with his boss during a meeting.,He showed {{c1::disrespect}} by arguing with his boss during a meeting.,"""<img src=""""4000EEW_B05_U12_2629.jpg"""" />""",[sound:4000EEW_B05_U12_2629.word.mp3],[sound:4000EEW_B05_U12_2629.definition.mp3],[sound:4000EEW_B05_U12_2629.example.mp3]
4000EEW_B05_U12_2630,enthusiasm,,[inθúːziӕzm],n.,<i>Enthusiasm</i> is a very strong good feeling about something.,The crowd showed their <b>enthusiasm</b> for the soccer team by cheering loudly.,The crowd showed their {{c1::enthusiasm}} for the soccer team by cheering loudly.,"""<img src=""""4000EEW_B05_U12_2630.jpg"""" />""",[sound:4000EEW_B05_U12_2630.word.mp3],[sound:4000EEW_B05_U12_2630.definition.mp3],[sound:4000EEW_B05_U12_2630.example.mp3]
4000EEW_B05_U12_2631,harsh,,[haːrʃ],adj.,"When something is <i>harsh</i>, it is very unpleasant.",The desert can be a very <b>harsh</b> environment.,The desert can be a very {{c1::harsh}} environment.,"""<img src=""""4000EEW_B05_U12_2631.jpg"""" />""",[sound:4000EEW_B05_U12_2631.word.mp3],[sound:4000EEW_B05_U12_2631.definition.mp3],[sound:4000EEW_B05_U12_2631.example.mp3]
4000EEW_B05_U12_2632,lean,,[liːn],v.,To <i>lean</i> is to bend in a particular direction.,The woman <b>leaned</b> against the counter because she was tired.,The woman {{c1::leaned}} against the counter because she was tired.,"""<img src=""""4000EEW_B05_U12_2632.jpg"""" />""",[sound:4000EEW_B05_U12_2632.word.mp3],[sound:4000EEW_B05_U12_2632.definition.mp3],[sound:4000EEW_B05_U12_2632.example.mp3]
4000EEW_B05_U12_2633,meantime,,[míːntàim],n.,The <i>meantime</i> is the time between two events.,"Ted began setting the table. In the <b>meantime</b>, I began preparing the food.","Ted began setting the table. In the {{c1::meantime}}, I began preparing the food.","""<img src=""""4000EEW_B05_U12_2633.jpg"""" />""",[sound:4000EEW_B05_U12_2633.word.mp3],[sound:4000EEW_B05_U12_2633.definition.mp3],[sound:4000EEW_B05_U12_2633.example.mp3]
4000EEW_B05_U12_2634,mischief,,[místʃif],n.,<i>Mischief</i> is behavior that is meant to trick or cause trouble for people.,Ben was up to <b>mischief</b> when he persuaded Ken to paint his face.,Ben was up to {{c1::mischief}} when he persuaded Ken to paint his face.,"""<img src=""""4000EEW_B05_U12_2634.jpg"""" />""",[sound:4000EEW_B05_U12_2634.word.mp3],[sound:4000EEW_B05_U12_2634.definition.mp3],[sound:4000EEW_B05_U12_2634.example.mp3]
4000EEW_B05_U12_2635,muscle,,[mʌ́səl],n.,<i>Muscle</i> is a mass of tissue attached to bone that helps you move.,She went to the gym in order to make her <b>muscles</b> stronger.,She went to the gym in order to make her {{c1::muscles}} stronger.,"""<img src=""""4000EEW_B05_U12_2635.jpg"""" />""",[sound:4000EEW_B05_U12_2635.word.mp3],[sound:4000EEW_B05_U12_2635.definition.mp3],[sound:4000EEW_B05_U12_2635.example.mp3]
4000EEW_B05_U12_2636,rescue,,[réskjuː],v.,To <i>rescue</i> someone means to remove them from danger.,The firefighter <b>rescued</b> the man from the burning building.,The firefighter {{c1::rescued}} the man from the burning building.,"""<img src=""""4000EEW_B05_U12_2636.jpg"""" />""",[sound:4000EEW_B05_U12_2636.word.mp3],[sound:4000EEW_B05_U12_2636.definition.mp3],[sound:4000EEW_B05_U12_2636.example.mp3]
4000EEW_B05_U12_2637,succession,,[səkséʃən],n.,A <i>succession</i> is a number of things that follow one after the other.,The student said the letters of the alphabet in <b>succession</b>.,The student said the letters of the alphabet in {{c1::succession}}.,"""<img src=""""4000EEW_B05_U12_2637.jpg"""" />""",[sound:4000EEW_B05_U12_2637.word.mp3],[sound:4000EEW_B05_U12_2637.definition.mp3],[sound:4000EEW_B05_U12_2637.example.mp3]
4000EEW_B05_U12_2638,terrain,,[təréin],n.,The <i>terrain</i> is the land and all of its physical features or parts.,The <b>terrain</b> below was rocky and full of hills.,The {{c1::terrain}} below was rocky and full of hills.,"""<img src=""""4000EEW_B05_U12_2638.jpg"""" />""",[sound:4000EEW_B05_U12_2638.word.mp3],[sound:4000EEW_B05_U12_2638.definition.mp3],[sound:4000EEW_B05_U12_2638.example.mp3]
4000EEW_B05_U12_2639,timid,,[tímid],adj.,"If someone is <i>timid</i>, they are afraid, shy, or nervous.",The <b>timid</b> child hides behind her mother whenever she sees a stranger.,The {{c1::timid}} child hides behind her mother whenever she sees a stranger.,"""<img src=""""4000EEW_B05_U12_2639.jpg"""" />""",[sound:4000EEW_B05_U12_2639.word.mp3],[sound:4000EEW_B05_U12_2639.definition.mp3],[sound:4000EEW_B05_U12_2639.example.mp3]
4000EEW_B05_U12_2640,violence,,[váiələns],n.,<i>Violence</i> is forceful action that is meant to injure or kill people.,The boy hit his brother in an act of <b>violence</b>.,The boy hit his brother in an act of {{c1::violence}}.,"""<img src=""""4000EEW_B05_U12_2640.jpg"""" />""",[sound:4000EEW_B05_U12_2640.word.mp3],[sound:4000EEW_B05_U12_2640.definition.mp3],[sound:4000EEW_B05_U12_2640.example.mp3]
4000EEW_B05_U13_2641,affect,,[əfékt],v.,To <i>affect</i> someone or something is to have an influence over them.,The student’s poor attitude <b>affected</b> the other students in the class.,The student’s poor attitude {{c1::affected}} the other students in the class.,"""<img src=""""4000EEW_B05_U13_2641.jpg"""" />""",[sound:4000EEW_B05_U13_2641.word.mp3],[sound:4000EEW_B05_U13_2641.definition.mp3],[sound:4000EEW_B05_U13_2641.example.mp3]
4000EEW_B05_U13_2642,autograph,,[ɔ́ːtəgræ̀f],n.,An <i>autograph</i> is the written name of a famous person.,Everybody wanted the movie star’s <b>autograph</b>.,Everybody wanted the movie star’s {{c1::autograph}}.,"""<img src=""""4000EEW_B05_U13_2642.jpg"""" />""",[sound:4000EEW_B05_U13_2642.word.mp3],[sound:4000EEW_B05_U13_2642.definition.mp3],[sound:4000EEW_B05_U13_2642.example.mp3]
4000EEW_B05_U13_2643,bead,,[biːd],n.,A <i>bead</i> is a drop of liquid.,<b>Beads</b> of water collected on the outside of the glass.,{{c1::Beads}} of water collected on the outside of the glass.,"""<img src=""""4000EEW_B05_U13_2643.jpg"""" />""",[sound:4000EEW_B05_U13_2643.word.mp3],[sound:4000EEW_B05_U13_2643.definition.mp3],[sound:4000EEW_B05_U13_2643.example.mp3]
4000EEW_B05_U13_2644,brew,,[bruː],v.,To <i>brew</i> coffee or tea means to pour hot water over it.,Please <b>brew</b> a fresh pot of coffee.,Please {{c1::brew}} a fresh pot of coffee.,"""<img src=""""4000EEW_B05_U13_2644.jpg"""" />""",[sound:4000EEW_B05_U13_2644.word.mp3],[sound:4000EEW_B05_U13_2644.definition.mp3],[sound:4000EEW_B05_U13_2644.example.mp3]
4000EEW_B05_U13_2645,charm,,[ʧaːrm],v.,To <i>charm</i> someone is to please them with your personality.,Gail <b>charmed</b> everyone with her humorous stories.,Gail {{c1::charmed}} everyone with her humorous stories.,"""<img src=""""4000EEW_B05_U13_2645.jpg"""" />""",[sound:4000EEW_B05_U13_2645.word.mp3],[sound:4000EEW_B05_U13_2645.definition.mp3],[sound:4000EEW_B05_U13_2645.example.mp3]
4000EEW_B05_U13_2646,destiny,,[déstəni],n.,A <i>destiny</i> is all the things that happen or will happen to a person in their life.,It was his <b>destiny</b> to become a great singer.,It was his {{c1::destiny}} to become a great singer.,"""<img src=""""4000EEW_B05_U13_2646.jpg"""" />""",[sound:4000EEW_B05_U13_2646.word.mp3],[sound:4000EEW_B05_U13_2646.definition.mp3],[sound:4000EEW_B05_U13_2646.example.mp3]
4000EEW_B05_U13_2647,equipment,,[ikwípmənt],n.,<i>Equipment</i> consists of the things which are used for a specific purpose.,The factory produces a wide range of high-tech <b>equipment</b>.,The factory produces a wide range of high-tech {{c1::equipment}}.,"""<img src=""""4000EEW_B05_U13_2647.jpg"""" />""",[sound:4000EEW_B05_U13_2647.word.mp3],[sound:4000EEW_B05_U13_2647.definition.mp3],[sound:4000EEW_B05_U13_2647.example.mp3]
4000EEW_B05_U13_2648,horn,,[hɔːrn],n.,A <i>horn</i> is a device that makes a loud noise.,The boy honked his <b>horn</b> as he rode his bicycle past the house.,The boy honked his {{c1::horn}} as he rode his bicycle past the house.,"""<img src=""""4000EEW_B05_U13_2648.jpg"""" />""",[sound:4000EEW_B05_U13_2648.word.mp3],[sound:4000EEW_B05_U13_2648.definition.mp3],[sound:4000EEW_B05_U13_2648.example.mp3]
4000EEW_B05_U13_2649,irritable,,[írətəbl],adj.,"When someone is <i>irritable</i>, they become annoyed or angry very easily.",She is <b>irritable</b> when she doesn’t get enough sleep.,She is {{c1::irritable}} when she doesn’t get enough sleep.,"""<img src=""""4000EEW_B05_U13_2649.jpg"""" />""",[sound:4000EEW_B05_U13_2649.word.mp3],[sound:4000EEW_B05_U13_2649.definition.mp3],[sound:4000EEW_B05_U13_2649.example.mp3]
4000EEW_B05_U13_2650,lag,,[læg],v.,To <i>lag</i> behind is to move slowly behind other moving objects.,The girl on rollerblades <b>lagged</b> behind the little girl on the bicycle.,The girl on rollerblades {{c1::lagged}} behind the little girl on the bicycle.,"""<img src=""""4000EEW_B05_U13_2650.jpg"""" />""",[sound:4000EEW_B05_U13_2650.word.mp3],[sound:4000EEW_B05_U13_2650.definition.mp3],[sound:4000EEW_B05_U13_2650.example.mp3]
4000EEW_B05_U13_2651,nightmare,,[náitmεər],n.,A <i>nightmare</i> is a bad or scary dream.,The girl was scared to go back to sleep because she had had a <b>nightmare</b>.,The girl was scared to go back to sleep because she had had a {{c1::nightmare}}.,"""<img src=""""4000EEW_B05_U13_2651.jpg"""" />""",[sound:4000EEW_B05_U13_2651.word.mp3],[sound:4000EEW_B05_U13_2651.definition.mp3],[sound:4000EEW_B05_U13_2651.example.mp3]
4000EEW_B05_U13_2652,nutritious,,[njuːtríʃəs],adj.,"When something is <i>nutritious</i>, it helps the body stay healthy.",Mangoes are one of the most <b>nutritious</b> fruits in the world.,Mangoes are one of the most {{c1::nutritious}} fruits in the world.,"""<img src=""""4000EEW_B05_U13_2652.jpg"""" />""",[sound:4000EEW_B05_U13_2652.word.mp3],[sound:4000EEW_B05_U13_2652.definition.mp3],[sound:4000EEW_B05_U13_2652.example.mp3]
4000EEW_B05_U13_2653,protein,,[próutiːn],n.,<i>Protein</i> is a substance that is necessary for the body to grow and be strong.,Fish and beef are good sources of <b>protein</b>.,Fish and beef are good sources of {{c1::protein}}.,"""<img src=""""4000EEW_B05_U13_2653.jpg"""" />""",[sound:4000EEW_B05_U13_2653.word.mp3],[sound:4000EEW_B05_U13_2653.definition.mp3],[sound:4000EEW_B05_U13_2653.example.mp3]
4000EEW_B05_U13_2654,signature,,[sígnətʃər],n.,"A <i>signature</i> is your name, when you write it in your own way.",I put my <b>signature</b> at the end of the letter.,I put my {{c1::signature}} at the end of the letter.,"""<img src=""""4000EEW_B05_U13_2654.jpg"""" />""",[sound:4000EEW_B05_U13_2654.word.mp3],[sound:4000EEW_B05_U13_2654.definition.mp3],[sound:4000EEW_B05_U13_2654.example.mp3]
4000EEW_B05_U13_2655,stuff,,[stʌf],n.,<i>Stuff</i> is a word used to refer to things without mentioning the things by name.,We gave a lot of <b>stuff</b> to the charity.,We gave a lot of {{c1::stuff}} to the charity.,"""<img src=""""4000EEW_B05_U13_2655.jpg"""" />""",[sound:4000EEW_B05_U13_2655.word.mp3],[sound:4000EEW_B05_U13_2655.definition.mp3],[sound:4000EEW_B05_U13_2655.example.mp3]
4000EEW_B05_U13_2656,subconscious,,[sʌbkɑ́nʃəs],adj.,"When something is <i>subconscious</i>, it is done without thinking about it.",Breathing is one of the <b>subconscious</b> things that the body does.,Breathing is one of the {{c1::subconscious}} things that the body does.,"""<img src=""""4000EEW_B05_U13_2656.jpg"""" />""",[sound:4000EEW_B05_U13_2656.word.mp3],[sound:4000EEW_B05_U13_2656.definition.mp3],[sound:4000EEW_B05_U13_2656.example.mp3]
4000EEW_B05_U13_2657,van,,[væn],n.,A <i>van</i> is a vehicle that is used for carrying things. It is smaller than a truck.,The delivery company uses large <b>vans</b> to deliver packages.,The delivery company uses large {{c1::vans}} to deliver packages.,"""<img src=""""4000EEW_B05_U13_2657.jpg"""" />""",[sound:4000EEW_B05_U13_2657.word.mp3],[sound:4000EEW_B05_U13_2657.definition.mp3],[sound:4000EEW_B05_U13_2657.example.mp3]
4000EEW_B05_U13_2658,warn,,[wɔːrn],v.,To <i>warn</i> someone is to make them know of possible danger in the future.,The lifeguard <b>warned</b> people to stay away from the rough ocean.,The lifeguard {{c1::warned}} people to stay away from the rough ocean.,"""<img src=""""4000EEW_B05_U13_2658.jpg"""" />""",[sound:4000EEW_B05_U13_2658.word.mp3],[sound:4000EEW_B05_U13_2658.definition.mp3],[sound:4000EEW_B05_U13_2658.example.mp3]
4000EEW_B05_U13_2659,workout,,[wə́ːrkàut],n.,A <i>workout</i> is an exercise routine that helps improve health.,She doesn’t do her <b>workout</b> on the weekends.,She doesn’t do her {{c1::workout}} on the weekends.,"""<img src=""""4000EEW_B05_U13_2659.jpg"""" />""",[sound:4000EEW_B05_U13_2659.word.mp3],[sound:4000EEW_B05_U13_2659.definition.mp3],[sound:4000EEW_B05_U13_2659.example.mp3]
4000EEW_B05_U13_2660,zoom,,[zuːm],v.,To <i>zoom</i> is to move quickly.,The cars <b>zoomed</b> along the road.,The cars {{c1::zoomed}} along the road.,"""<img src=""""4000EEW_B05_U13_2660.jpg"""" />""",[sound:4000EEW_B05_U13_2660.word.mp3],[sound:4000EEW_B05_U13_2660.definition.mp3],[sound:4000EEW_B05_U13_2660.example.mp3]
4000EEW_B05_U14_2661,brick,,[brik],n.,"A <i>brick</i> is a block of hard clay that is used for building things, such as walls.",There were several <b>bricks</b> scattered on the ground.,There were several {{c1::bricks}} scattered on the ground.,"""<img src=""""4000EEW_B05_U14_2661.jpg"""" />""",[sound:4000EEW_B05_U14_2661.word.mp3],[sound:4000EEW_B05_U14_2661.definition.mp3],[sound:4000EEW_B05_U14_2661.example.mp3]
4000EEW_B05_U14_2662,crumble,,[krʌ́mbl],v.,To <i>crumble</i> means to break or fall apart into small pieces.,The old house’s walls <b>crumbled</b> into a pile of rock and wood.,The old house’s walls {{c1::crumbled}} into a pile of rock and wood.,"""<img src=""""4000EEW_B05_U14_2662.jpg"""" />""",[sound:4000EEW_B05_U14_2662.word.mp3],[sound:4000EEW_B05_U14_2662.definition.mp3],[sound:4000EEW_B05_U14_2662.example.mp3]
4000EEW_B05_U14_2663,dough,,[dou],n.,<i>Dough</i> is a mixture of four and water that becomes bread when baked.,I made heart-shaped cookies from the <b>dough</b>.,I made heart-shaped cookies from the {{c1::dough}}.,"""<img src=""""4000EEW_B05_U14_2663.jpg"""" />""",[sound:4000EEW_B05_U14_2663.word.mp3],[sound:4000EEW_B05_U14_2663.definition.mp3],[sound:4000EEW_B05_U14_2663.example.mp3]
4000EEW_B05_U14_2664,express,,[iksprés],v.,To <i>express</i> a feeling or idea means to show others how one thinks or feels.,The nurse <b>expressed</b> her sympathy for the sick patient.,The nurse {{c1::expressed}} her sympathy for the sick patient.,"""<img src=""""4000EEW_B05_U14_2664.jpg"""" />""",[sound:4000EEW_B05_U14_2664.word.mp3],[sound:4000EEW_B05_U14_2664.definition.mp3],[sound:4000EEW_B05_U14_2664.example.mp3]
4000EEW_B05_U14_2665,fist,,[físt],n.,A <i>fist</i> is a hand with fingers bent in toward the palm.,The bully made a <b>fist</b> and threatened to hit the small boy.,The bully made a {{c1::fist}} and threatened to hit the small boy.,"""<img src=""""4000EEW_B05_U14_2665.jpg"""" />""",[sound:4000EEW_B05_U14_2665.word.mp3],[sound:4000EEW_B05_U14_2665.definition.mp3],[sound:4000EEW_B05_U14_2665.example.mp3]
4000EEW_B05_U14_2666,flexible,,[fléksəbəl],adj.,"If something is <i>flexible</i>, then it can bend easily without breaking.",The tree branch was so <b>flexible</b> it could be bent into a circle and not break.,The tree branch was so {{c1::flexible}} it could be bent into a circle and not break.,"""<img src=""""4000EEW_B05_U14_2666.jpg"""" />""",[sound:4000EEW_B05_U14_2666.word.mp3],[sound:4000EEW_B05_U14_2666.definition.mp3],[sound:4000EEW_B05_U14_2666.example.mp3]
4000EEW_B05_U14_2667,flush,,[flʌʃ],v.,"To <i>flush</i> means the face becomes red due to heat, illness, or emotion.","After the long race, the runner’s face was <b>flushed</b>.","After the long race, the runner’s face was {{c1::flushed}}.","""<img src=""""4000EEW_B05_U14_2667.jpg"""" />""",[sound:4000EEW_B05_U14_2667.word.mp3],[sound:4000EEW_B05_U14_2667.definition.mp3],[sound:4000EEW_B05_U14_2667.example.mp3]
4000EEW_B05_U14_2668,injure,,[índʒər],v.,To <i>injure</i> someone means to damage a part of their body.,The car crash <b>injured</b> two people.,The car crash {{c1::injured}} two people.,"""<img src=""""4000EEW_B05_U14_2668.jpg"""" />""",[sound:4000EEW_B05_U14_2668.word.mp3],[sound:4000EEW_B05_U14_2668.definition.mp3],[sound:4000EEW_B05_U14_2668.example.mp3]
4000EEW_B05_U14_2669,lump,,[lʌmp],n.,A <i>lump</i> is a small piece of something that is solid.,The artist took a <b>lump</b> of clay and turned it into a beautiful pot.,The artist took a {{c1::lump}} of clay and turned it into a beautiful pot.,"""<img src=""""4000EEW_B05_U14_2669.jpg"""" />""",[sound:4000EEW_B05_U14_2669.word.mp3],[sound:4000EEW_B05_U14_2669.definition.mp3],[sound:4000EEW_B05_U14_2669.example.mp3]
4000EEW_B05_U14_2670,mixture,,[míkstʃəːr],n.,A <i>mixture</i> is something that is made by mixing other things together.,"The walls were built using a <b>mixture</b> of water, rock, and dirt.","The walls were built using a {{c1::mixture}} of water, rock, and dirt.","""<img src=""""4000EEW_B05_U14_2670.jpg"""" />""",[sound:4000EEW_B05_U14_2670.word.mp3],[sound:4000EEW_B05_U14_2670.definition.mp3],[sound:4000EEW_B05_U14_2670.example.mp3]
4000EEW_B05_U14_2671,reconcile,,[rékənsàil],v.,To <i>reconcile</i> means to return to a friendly relationship.,"After arguing, the two friends were <b>reconciled</b> with each other.","After arguing, the two friends were {{c1::reconciled}} with each other.","""<img src=""""4000EEW_B05_U14_2671.jpg"""" />""",[sound:4000EEW_B05_U14_2671.word.mp3],[sound:4000EEW_B05_U14_2671.definition.mp3],[sound:4000EEW_B05_U14_2671.example.mp3]
4000EEW_B05_U14_2672,ruin,,[rúːin],v.,To <i>ruin</i> something means to harm or damage it greatly.,Our walk in the park was <b>ruined</b> by the sudden rain.,Our walk in the park was {{c1::ruined}} by the sudden rain.,"""<img src=""""4000EEW_B05_U14_2672.jpg"""" />""",[sound:4000EEW_B05_U14_2672.word.mp3],[sound:4000EEW_B05_U14_2672.definition.mp3],[sound:4000EEW_B05_U14_2672.example.mp3]
