"Word","Soundmark","Explanation0","Example0","Equivalence0","Derivative0","Opposite0","Explanation1","Example1","Equivalence1","Derivative1","Opposite1","Explanation2","Example2","Equivalence2","Derivative2","Opposite2","Explanation3","Example3","Equivalence3","Derivative3","Opposite3","Category","Image","Audio","tags","deck"
"weather","[ˈweðər]","【释】v. 渡过（危机） to come through (something) safely","【例】Sound regulation of the financial sector has helped the Indian economy to weather the storm and emerge stronger than ever.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-b65a9dd6-01606f36-38ee5d1f-25a8d5fc-8b85e837.mp3]",,"GRE::新东方GRE佛脚词改"
"document","[ˈdɑːkjumənt]","【释】v. 详细记录 to methodically record the details of","【例】The widely documented correlation between these two diseases has prompted scientists to study whether treating one can ward off the other.",,"【派】documentation（n. 证明文件）",,"【释】v. 证明，支持 to support with evidence or decisive information","【例】Most of the arguments I've encountered so far have not been documented and are purely anecdotal.",,,,,,,,,,,,,,,"<img src=""oxfordlearning-2cdbb523-a564e016-b8d37992-9d98afec-146c7a35.jpg"">","[sound:youdao-3142df19-c2f732b7-a8939717-928d5493-2685146b.mp3]",,"GRE::新东方GRE佛脚词改"
"contest","[ˈkɑːntest]","【释】v. 质疑，否认 to try to disprove or invalidate (something) as by argument or legal action","【例】There has been a tendency among art historians to contest not only the uniqueness of the Renaissance, but its very existence.",,"【派】uncontested（adj. 无异议的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-ce7456e9-44ee93f2-3fd44995-154fe261-e3be57af.mp3]",,"GRE::新东方GRE佛脚词改"
"intrigue","[ɪnˈtriːɡ]","【释】n. 密谋，诡计 the activity of making secret plans","【例】The Roman senate was full of intrigue, with senators conspiring and plotting against each other.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-5f534b2b-b2912fb7-fa43d2a4-533b6c72-a74f1b0f.mp3]",,"GRE::新东方GRE佛脚词改"
"occasion","[əˈkeɪʒn]","【释】v. 引起 to cause something","【例】The recent death of the king occasioned the rise to power of the commoner, Darius, in the Persian Empire.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-dbd88910-6be8fed6-67271124-617396cd-9bb04edf.mp3]",,"GRE::新东方GRE佛脚词改"
"effect","[ɪˈfekt]","【释】v. 引起 to bring about; make happen","【例】Unplanned demonstrations like the Stonewall Riots can effect social change.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-a3977e48-4b4e2dfc-58fa4918-621f5c46-71be6bc3.mp3]",,"GRE::新东方GRE佛脚词改"
"spell","[spel]","【释】n. （一段）时间 a short, indefinite period of time","【例】The friendly townspeople invited the tourists to have some lemonade on the porch and sit for a spell.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-b539f8d4-b879a45d-40128dc7-daa809a4-7bfa1838.mp3]",,"GRE::新东方GRE佛脚词改"
"husband","[ˈhʌzbənd]","【释】v. 节省 to carefully use or manage, to use sparingly","【例】With the poor harvest, the farmer husbanded all of the food so that the supplies could last the harsh winter.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-0647024e-68c435cd-e84e4cb4-3f48738e-09eeebab.mp3]",,"GRE::新东方GRE佛脚词改"
"industry","[ˈɪndəstri]","【释】n. 努力 the habit of working hard and steadily","【例】Because of Obama's industry and intelligence, he was able to earn a law degree at the prestigious Harvard Law.",,,"【反】sloth",,,,,,,,,,,,,,,,,,"[sound:youdao-64d8ce8c-541e1a5a-55ae7719-049c47d9-42883790.mp3]",,"GRE::新东方GRE佛脚词改"
"demonstrative","[dɪˈmɑːnstrətɪv]","【释】adj. 显露情感的 freely and openly showing emotion or feelings","【例】Cito Gaston, one of the least demonstrative baseball managers, surprised reporters by weeping openly after his team won the play-offs.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-f2c4e7af-9891fb46-d8442903-512e0d9d-34309f97.mp3]",,"GRE::新东方GRE佛脚词改"
"pursuit","[pərˈsuːt]","【释】n. 事业 an activity that one engages as a vocation, profession, or avocation","【例】Although basketball was Magic Johnson's primary pursuit, he also made a fortune in the cinema business.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-db918397-64f16722-48abd5db-7d1233fd-3872aa1e.mp3]",,"GRE::新东方GRE佛脚词改"
"emergent","[iˈmɜːrdʒənt]","【释】adj. 新兴的 newly formed or prominent","【例】In emergent marketplaces, it is necessary to nourish economic development for sustainable development.",,"【派】emerge（v. 出现）",,"【释】adj. 突然出现的 arising unexpectedly","【例】Emergent from the volcano were clouds of pumice that blanketed the city of Pompeii.",,,,"【释】adj. 紧急的 urgent, calling for prompt action","【例】The emergent infestation of locusts spelled disaster for the wheat business.",,,,,,,,,,,"[sound:youdao-58939dbb-4a6b8fc9-757ae7e4-f326fcb7-fc2acd2f.mp3]",,"GRE::新东方GRE佛脚词改"
"inform","[ɪnˈfɔːrm]","【释】v. 通知 to give information to","【例】Informed about the flight delay well in advance, the family waited an extra hour before driving to the airport.",,,,"【释】v. 影响 to be the characteristic quality of","【例】Cognitive research into the reading process is now informing some literary criticism.",,,,,,,,,,,,,,,,"[sound:youdao-98b1644e-5745d7ed-4a86e87e-5c8b906f-315e5150.mp3]",,"GRE::新东方GRE佛脚词改"
"appropriate","[əˈproʊpriət]","【释】adj. 合适的 suitable or compatible","【例】In many cultures, it is appropriate to wear black as a sign of mourning at funerals.",,,,"【释】v. 私自占有，私自挪用 to take or make use of without authority or right","【例】Elvis Presley appropriated the blues sounds of African American musicians to help develop the beginnings of rock music.","【选】borrow",,"【反】lend","【释】v. 为…拨（款） to set apart for or assign to a particular purpose or use","【例】The treasurer typically appropriates a small amount of money for refreshments that are served during each week's meeting.",,,,,,,,,,,"[sound:youdao-a0f75013-9e8fb468-02d4bcc8-d2c58723-e74d7917.mp3]",,"GRE::新东方GRE佛脚词改"
"circumstantial","[ˌsɜːrkəmˈstænʃl]","【释】adj. 详细的 complete and particular; full of detail","【例】Congress released a circumstantial report detailing the multi-year investigation into steroid use in professional sports.",,,,"【释】adj. 视情况而定的 of, relating to, or depends on circumstances","【例】Circumstantial evidence such as the defendant's absence from work is not enough to prove him guilty.",,,,"【释】adj. 相关但不重要的 pertinent but not essential","【例】Although butter is circumstantial to the recipe, it can be replaced by a lower-calorie alternative.",,,,,,,,,,,"[sound:youdao-86370520-836f498e-8b775a06-78777a61-d9d6a908.mp3]",,"GRE::新东方GRE佛脚词改"
"project","[ˈprɑːdʒekt]","【释】v. 投掷 to throw forward","【例】Brett Favre projected the football to his receiver with such force that it stung his hands.",,,,"【释】v. 投影 to cause to appear on a surface by the controlled direction of light","【例】After we started the projector, an image of the computer's screen was projected on a white wall.",,,,"【释】v. 预算，预测 to calculate, estimate, or predict","【例】According to the recent trends, gas prices are projected to decline even more by the end of the summer.",,,,,,,,,,,"[sound:youdao-837884ae-f580147f-44b77d17-8c89a673-3cd2a286.mp3]",,"GRE::新东方GRE佛脚词改"
"subject","[ˈsʌbdʒɪkt]","【释】v. 屈服 to subjugate; subdue","【例】The significance of the Magna Carta lies not in its finite provisions, but in its broader impact: it made the king subject to the law.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-7af2600a-71e1a30b-6a06c523-aaa28bab-6590ecb1.mp3]",,"GRE::新东方GRE佛脚词改"
"object","[ˈɑːbdʒekt]","【释】v. 反对 to present a dissenting or opposing argument","【例】In the United States, social activists who strongly object to a particular law can attempt to obtain a constitutional amendment to repeal it.",,"【派】objection（n. 反对）",,,,,,,,,,,,,,,,,,,"[sound:youdao-3cd990eb-8916ad6f-a025c85c-cff02aeb-e0d3e7a5.mp3]",,"GRE::新东方GRE佛脚词改"
"long","[lɔːŋ]","【释】v. 渴望 to have an earnest, heartfelt desire","【例】Longing for his homeland, John McCain kept his morale up while in a POW camp by thinking of his friends and family.",,,,,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-7a4f7bbd-a6700efd-a37d3296-31a5cf99-18f4b17d.jpg"">","[sound:youdao-c2d8b7fb-feb4d4a0-2fa53217-4b762cdf-454ac014.mp3]",,"GRE::新东方GRE佛脚词改"
"pacific","[pəˈsɪfɪk]","【释】adj. 爱好和平的 loving peace; not wanting war or conflict","【例】The pacific hippies protested the Vietnam War with signs of peace and free love.","【选】dovish",,"【反】turbulent",,,,,,,,,,,,,,,,,,"[sound:youdao-cc28fb73-092032e8-fc70c77c-b8ae531d-5a44f911.mp3]",,"GRE::新东方GRE佛脚词改"
"involved","[ɪnˈvɑːlvd]","【释】adj. 复杂的 complicated and intricate","【例】Richard Nixon's cover-up of Watergate was so involved that it could not have possibly worked without a hitch.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-30bd07de-ffd2473d-635c0c9a-c3355c02-766c5bc0.mp3]",,"GRE::新东方GRE佛脚词改"
"score","[skɔːr]","【释】v. 获得…成就 to achieve or accomplish","【例】NASA scored a victory in the space race when they landed a man on the moon first.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-8f67f98d-cd56b7a8-40d03737-f4b69843-836c28a0.mp3]",,"GRE::新东方GRE佛脚词改"
"intimate","[ˈɪntɪmət]","【释】adj. 亲密无间的 characterized by close personal acquaintance or familiarity","【例】Although not related by blood, the lifetime friends were so intimate that they considered each other family.",,,,"【释】v. 暗示 to say or suggest in an indirect way","【例】The professor could not officially release the results of the comprehensive exam until Monday, but she intimated to me that I had passed.",,,,,,,,,,,,,,,,"[sound:youdao-0ee47e8c-ef5639d1-1d7f4f14-163b7987-b8afaf6f.mp3]",,"GRE::新东方GRE佛脚词改"
"portentous","[pɔːrˈtentəs]","【释】adj. 不吉利的 giving a sign or warning that something usually bad o unpleasant is going to happen","【例】Looking into the arrangement of the bones, the shaman said that the signs were portentous of the chief's impending death.",,,,"【释】adj. 自命不凡的 self-consciously solemn or important","【例】During his award ceremony, the scientist warned his family to remain silent in respect for the portentous affair.",,,,,,,,,,,,,,,,"[sound:youdao-f1e2e95c-b245b8c3-94a2aee9-40670836-86dc57b4.mp3]",,"GRE::新东方GRE佛脚词改"
"rail","[reɪl]","【释】v. 抨击，批评 to express objection or criticisms in bitter, harsh, or abusive language","【例】The demagogue railed against illegal immigration and proposed building a wall to insulate the country from migrants.",,,,,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-d5a129c5-70ced5a3-cfc3a602-98ece1b8-972f63ab.jpg"">","[sound:youdao-ebbe7959-8461a3b3-bf7fbffe-012214ed-88cb6b6f.mp3]",,"GRE::新东方GRE佛脚词改"
"base","[beɪs]","【释】adj. 卑鄙的 having or showing a lack of decency","【例】In most spy movies, the bad guy is completely base, with no redeeming qualities.",,,,,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-39a9bf37-6d450f84-21430bc3-46406add-f008afd3.jpg"">","[sound:youdao-bce3119d-8fc0178d-38737e3a-116d19dc-46d92575.mp3]",,"GRE::新东方GRE佛脚词改"
"course","[kɔːrs]","【释】n. 过程 progression through a development or period or a series of acts or events","【例】During the course of the Civil War, tens of thousands of American lives were taken every month.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-cbf984ab-1b64d8e9-6ff123b3-83e94217-52c9e593.mp3]",,"GRE::新东方GRE佛脚词改"
"mount","[maʊnt]","【释】v. 上升 to increase in amount","【例】With the anger between the two men mounting, it was only a matter of time before fisticuffs were thrown.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-447bc5a5-f0f96300-3f17f49b-d313e01a-66f894b1.mp3]",,"GRE::新东方GRE佛脚词改"
"count","[kaʊnt]","【释】v. 有重要性 to have importance","【例】Counted as one of the greatest players of all time, Babe Ruth still holds a special place in the hearts of baseball fans.",,,,"【释】v. 指望，相信 to believe or consider to be","【例】Although Ryan is fiscally conservative, he does not count himself among the Republicans because he conflicts strongly with their social positions.",,,,,,,,,,,,,,,,"[sound:youdao-e125177f-ab4e51f3-7b2817de-322878a2-5af2cf9a.mp3]",,"GRE::新东方GRE佛脚词改"
"insulate","[ˈɪnsəleɪt]","【释】v. 绝缘，绝热，隔音 to prevent the passage of heat, electricity or sound into or out of","【例】In order to keep houses warm during the winter and increase overall efficiency, all external walls are insulated with a foam spray.",,,,"【释】v. （从危险的事物中）隔离 to keep separate from something unpleasant or dangerous","【例】It is impossible to insulate one's children from the world by homeschooling alone.",,,,,,,,,,,,,,,,"[sound:youdao-b97692c0-ca64f381-0525002e-37f50890-9ff4d247.mp3]",,"GRE::新东方GRE佛脚词改"
"row","[roʊ]","【释】n. （多人之间的）争吵 a lot of loud arguing or complaining usually involving many people","【例】During their row, the couple argued so loud that all the neighbors could hear.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-eb28c452-00b4ec35-d99370d9-8bea17a9-467a10fe.mp3]",,"GRE::新东方GRE佛脚词改"
"jade","[dʒeɪd]","【释】v. 使…厌烦 to become weary or dulled","【例】After years of working in the entertainment industry, the once-excited actors became jaded with the difficulty of sustaining a career.",,,,"【释】v. 使…疲惫不堪 to wear out by overwork or abuse","【例】Jaded by years of 80-hour work weeks, the marketer left his firm to start a rural farm.",,,,,,,,,,,,,,,,"[sound:youdao-e54934e0-d7b3d97d-dbeefa82-966688b8-2d61701c.mp3]",,"GRE::新东方GRE佛脚词改"
"trammel","[ˈtræml]","【释】v. 阻碍，限制自由 to hinder the activity or free movement of","【例】The power of workers to unionize has been trammeled for too long by right-to-work laws.","【选】restrain",,,"【释】n. 束缚 something that restricts activity, expression, or progress; a restraint","【例】During the high-speed chase, the police set up a series of trammels to block the fleeing criminal.",,,,,,,,,,,,,,,,"[sound:youdao-a35e2372-d3d2e822-5de681a3-a666e1bd-3aab2bba.mp3]",,"GRE::新东方GRE佛脚词改"
"comb","[koʊm]","【释】v. 仔细检查，仔细搜寻 to search or examine systematically","【例】While combing through the old manuscripts, the archivist discovered a never-before seen letter from John Adams.",,,,"【释】n. 梳子 a thin toothed strip, as of plastic, used to smooth, arrange, or fasten the hair","【例】Gwen could not remember where she had placed her comb after using it yesterday after the shower.",,,,,,,,,,,,,,,"<img src=""oxfordlearning-290b4a53-46111d61-f09dd63e-e02a8308-2d5400e1.jpg"">","[sound:youdao-2a52eec2-9ae1c81a-94e4fcf5-de3a3e7e-64a60b1c.mp3]",,"GRE::新东方GRE佛脚词改"
"jealous","[ˈdʒeləs]","【释】adj. 死守严防的，精心守护的 vigilant in guarding a possession","【例】The mother lion was jealous in guarding her cubs from foes.",,,,"【释】adj. 妒忌的 feeling a mean anger toward someone because he or she is more successful","【例】Erin was always jealous of her older sister, who overshadowed her in school, sports, and social life.",,,,,,,,,,,,,,,,"[sound:youdao-4a7bce0e-4eb15d05-3b89dc72-22d32f63-0172cee5.mp3]",,"GRE::新东方GRE佛脚词改"
"usher","[ˈʌʃər]","【释】v. 引领…进入 to cause to enter; to introduce","【例】While early biographies of Florence Nightingale tended to be quite sycophantic, this essay about her ushered in a new era and made it fashionable to criticize her.",,,,"【释】n. 引导员 a person who leads people to their seats","【例】Upon arriving at the theater, the usher led us speedily to our seats.",,,,,,,,,,,,,,,,"[sound:youdao-f8790e66-67ceabc3-7f64147c-f27bba53-c229e79f.mp3]",,"GRE::新东方GRE佛脚词改"
"cow","[kaʊ]","【释】v. 恐吓 to make someone too afraid to do something","【例】The childhood nightmare of almost drowning in the sea has cowed Lucy so much that she has not dared to step into any pool since.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-f863e542-c27fe960-58f87c29-764ce7d2-845de9d9.mp3]",,"GRE::新东方GRE佛脚词改"
"hedge","[hedʒ]","【释】n. 故意模棱两可、不绝对的言论 a calculatedly noncommittal or evasive statement","【例】His reply to the journalists was utterly unsatisfying as it was rampant with hedges and vague qualifications.",,,,"【释】v. 避免（言论）过于绝对 to avoid giving a promise or direct answer","【例】As he has matured as a scholar, his conclusions, which early in his career he stated as absolute, are now often hedged.",,,,,,,,,,,,,,,"<img src=""oxfordlearning-d67945d9-1b9bf9b2-ffe57a79-ab48009b-f29bb38e.jpg"">","[sound:youdao-8dfff3cb-70588c24-bdf4cf4e-48eadc00-4b39a764.mp3]",,"GRE::新东方GRE佛脚词改"
"obscure","[əbˈskjʊr]","【释】adj. 不清晰的，不易辨别的 not clearly seen or easily distinguished","【例】In the nighttime sky, Saturn is the most obscure planet, but it can occasionally be located with the naked eye.","【选】unremarkable",,,"【释】adj. 难以理解的（也作动词…难懂） not clearly understood or expressed","【例】Kelly was wont to use obscure English expressions that have no meaning in the modern world.",,,,"【释】adj. 不出名的 not well-known","【例】When Leo Strauss died in 1973, he was obscure outside the tiny academic circle that he inhabited.",,,,"【释】v. 遮蔽 to conceal or hide","【例】During storms, the peak of Mt. Denali is often obscured by clouds.",,,,,,"[sound:youdao-42eccf67-3296b897-f2b2c69e-1f95a1e4-70bfda3c.mp3]",,"GRE::新东方GRE佛脚词改"
"yield","[jiːld]","【释】v. 投降，屈服 to surrender or submit","【例】Yielding to his foe, Galahad lost the joust, but retained his life.","【选】succumb",,,"【释】v. 产出 to be productive of","【例】The experiment did not yield the decisive outcome that the scientist had hoped for; instead, the findings were unclear.","【选】engender, output",,,,,,,,,,,,,,,"[sound:youdao-e464743d-dd078d55-83207f1d-62e7ac11-aad096f6.mp3]",,"GRE::新东方GRE佛脚词改"
"skirt","[skɜːrt]","【释】v. 回避，避开（话题） to evade, as by circumlocution","【例】The politician deliberately skirted the complicated issue by diverting the interviewers to other topics.","【选】bypass, circumvent",,,,,,,,,,,,,,,,,,,"<img src=""oxfordlearning-b0535799-a4fc16f2-a2e047ad-632a303c-dc3c6cfa.jpg"">","[sound:youdao-53b210c0-2872dc74-cf4a2758-7a72df2a-4bc738ec.mp3]",,"GRE::新东方GRE佛脚词改"
"asset","[ˈæset]","【释】n. 有价值的人或事 a valuable person or thing","【例】As the most profitable salesman, Mel was a true asset to the Nissan dealership.",,,,"【释】n. 资产 something that is owned by a person, company, etc.","【例】Upon filing for bankruptcy, it is necessary to sell off all assets in order to repay outstanding loans.",,,"【反】liability",,,,,,,,,,,,,"[sound:youdao-23c1ab53-03385b6e-9514b6f9-70d1e923-1998428a.mp3]",,"GRE::新东方GRE佛脚词改"
"dense","[dens]","【释】adj. 浓密的 thick","【例】The fog was so dense that we could not see oncoming traffic on the road despite having our headlights on.","【选】concentrated",,,"【释】adj. 难以理解的 difficult to understand because of complexity or obscurity","【例】Confused by the dense prose of the article in the New Yorker, Jane threw it aside in favor of something lighter.",,,,"【释】adj. 笨的 slow to apprehend","【例】Mickey was slightly dense and required several hours of afterschool help in order to understand the basic concepts of geometry.","【选】witless",,,,,,,,,,"[sound:youdao-965fa26b-5b9169da-5fe9ca89-90770beb-340d4858.mp3]",,"GRE::新东方GRE佛脚词改"
"frown","[fraʊn]","【释】v. 皱眉 to wrinkle the brow","【例】Upon learning that her least favorite meal was about to be served, Mary frowned and gave a sound of disgust.",,,,"【释】v. 厌恶 to regard something with disapproval or distaste","【例】Most modern cultures frown on cannibalism, but some cultures still practice it.",,,,,,,,,,,,,,,,"[sound:youdao-fda82f9a-5b331c55-27d4d971-38f53e78-00edc1f1.mp3]",,"GRE::新东方GRE佛脚词改"
"content","[ˈkɑːntent]","【释】adj. 满足的 desiring no more than what one has","【例】Despite the trunk full of toys in his room, the child was entirely content playing with a small stick.","【选】gratification","【派】contentment（n. 满足）",,"【释】n. 内容 the substance or significance of a written work","【例】Many political speeches use convincing, emotional rhetoric that lacks any real content.",,,,,,,,,,,,,,,,"[sound:youdao-e2e570d0-5084d6db-e53ec7f4-2a5f79c0-9bbbe156.mp3]",,"GRE::新东方GRE佛脚词改"
"sanction","[ˈsæŋkʃn]","【释】v. 支持 to give official authorization or approval to","【例】Most nations did not sanction the country's policies, and these laws had been generating widespread disapproval for many years.","【选】endorse",,"【反】proscribe","【释】n. 支持（做不可数名词） official permission or approval","【例】Apparently, the aide had acted without White House sanction.",,,,"【释】n. 制裁（做可数名词） the penalty for noncompliance with a law or legal order","【例】After Crimea was annexed, the NATO allies created sanctions against Russia to harm its economy.",,,,,,,,,,,"[sound:youdao-1f3df1fa-400960aa-7b3bf727-4fb68bdf-7efed7b4.mp3]",,"GRE::新东方GRE佛脚词改"
"accent","[ˈæksent]","【释】v. 发重音 to pronounce with accent","【例】Even after several years in the USA, the Dutch girl accented many sounds, such as the “ch” as “sh”.",,,,"【释】v. 着重强调，凸显 to give prominence to","【例】By adding a bold color to one wall, the interior designer hoped to accent the fireplace that was positioned on it.",,,,,,,,,,,,,,,,"[sound:youdao-05effb42-242e6a3e-f57411c5-72a83038-0ea303b3.mp3]",,"GRE::新东方GRE佛脚词改"
"perennial","[pəˈreniəl]","【释】adj. 多年生的（植物） present at all seasons of the year","【例】Unlike the tulips, the common buttercups are perennial plants that last throughout the year.",,,,"【释】adj. 持续的，长期的 continuing without interruption","【例】Humanity's struggle with bedbugs is perennial: archaeologists have recovered remains of the parasites dating back 3,500 years to the time of the Egyptian pharaohs.","【选】long-standing",,"【反】fleeting",,,,,,,,,,,,,"[sound:youdao-18ac0218-c1565d63-f94b0898-0bc58741-d7afe0ad.mp3]",,"GRE::新东方GRE佛脚词改"
"confound","[kənˈfaʊnd]","【释】v. 使困惑 to cause to become confused or perplexed","【例】Even scientists are still confounded by many of the mysteries of the universe.","【选】perplex, obscure, flummox",,"【反】discriminate between","【释】v. 驳斥，证明…错误 to prove (someone or something) wrong; refute","【例】I was certain that tomatoes are vegetables, but a quick Wikipedia search confounded me and showed that they are fruits.",,,,"【释】v. 混淆 to fail to distinguish; mix up","【例】In the large crowd, the teacher confounded the identities of his students and repeatedly mixed up their names.",,,,,,,,,,,"[sound:youdao-7c93a0d5-e9bcf751-5c66d87e-77bd7b5b-613d856c.mp3]",,"GRE::新东方GRE佛脚词改"
"promise","[ˈprɑːmɪs]","【释】n. 前景光明 an indication of future success or improvement","【例】New cancer treatments like immunotherapy show promise to save lives in the future.",,,,"【释】v. 预示 to show signs of","【例】Johnny Manziel's early career promised great potential, but his decadent lifestyle prevented him from ever reaching his height.",,,,,,,,,,,,,,,,"[sound:youdao-e2dc682e-55197495-6925f2e6-bd8a4d97-033c1fc7.mp3]",,"GRE::新东方GRE佛脚词改"
"acknowledge","[əkˈnɑːlɪdʒ]","【释】v. 感谢 to express gratitude or obligation for","【例】At the awards ceremony, Leonardo DiCaprio acknowledged the work of the directors and other crew who helped him win.",,,,"【释】v. 承认 to say that you accept or do not deny the truth or existence of (something)","【例】Although many acknowledge the likelihood that aliens exist somewhere, most reject the theory that they built the pyramids.","【选】concede",,,,,,,,,,,,,,,"[sound:youdao-c9190a7a-455b8714-abf260b0-eb6b4f9d-8a6d93c5.mp3]",,"GRE::新东方GRE佛脚词改"
"volume","[ˈvɑːljuːm]","【释】n. 音量 the degree of loudness or the intensity of a sound","【例】In Spinal Tap, the band liked their music so loud that they added a volume knob that is capable of turning beyond the standard “10” to “11”.",,,,"【释】n. 书卷 book","【例】In the multi-volume science encyclopedia, researchers are able to find descriptions of thousands of natural phenomena.",,,,"【释】n. 体积 the amount of space occupied by a three-dimensional object as measured in cubic units","【例】The volume of an Olympic pool is much greater than that of an ordinary backyard pool.",,,,,,,,,,,"[sound:youdao-92c6d98e-385d0323-531d9047-a7293574-72a23d68.mp3]",,"GRE::新东方GRE佛脚词改"
"discharge","[dɪsˈtʃɑːrdʒ]","【释】v. 解雇 to tell (someone) officially that they can or must leave","【例】Elizabeth will be discharged from the hospital at noon tomorrow; she can finally go home.",,,,"【释】v. 履行（责任，义务） to do all that is required to perform or fulfil","【例】The submarine crew discharged its duties when it completed a tour of the Black Sea.",,,,"【释】v. 还清，偿还 to pay off (a debt)","【例】After winning big in a poker game, Johnny was able to discharge his debts with the loan shark.",,,,,,,,,,,"[sound:youdao-501b49de-b6ac760e-441109c7-8f9e69b7-4d4f4d6a.mp3]",,"GRE::新东方GRE佛脚词改"
"apology","[əˈpɑːlədʒi]","【释】n. 辩护 something that is said or written to defend something that other people criticize","【例】Plato wrote an apology defending Socrates from the slanders that were made against him.",,,,"【释】n. 抱歉 a statement saying that you are sorry about something","【例】After being caught, Alex Rodriguez issued an apology for illegally using performance-enhancing drugs.",,,,,,,,,,,,,,,,"[sound:youdao-1755d96f-76fbbab0-fe49409a-aa93b2e6-b93429b4.mp3]",,"GRE::新东方GRE佛脚词改"
"patent","[ˈpætnt]","【释】adj. 明显的 obvious or clear","【例】Footage from the moon landing made it patent and evident that the mission was not a hoax.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-72df7119-2a08fe6f-e45a7891-777a1677-3cd3fbbb.mp3]",,"GRE::新东方GRE佛脚词改"
"fell","[fel]","【释】v. 砍树 to cut down (a tree)","【例】Paul Bunyan felled countless trees with his giant ax in the American north.",,,,"【释】v. 打倒 to beat or knock down (someone or something)","【例】During the MMA match, Conor MacGregor was felled by the underdog, Nate Diaz, and lost his title.",,,,,,,,,,,,,,,,"[sound:youdao-facd6128-62d3639a-1e634353-b87525af-4cc92196.mp3]",,"GRE::新东方GRE佛脚词改"
"appreciate","[əˈpriːʃieɪt]","【释】v. 升值 to increase the value of","【例】During many economic crises, the value of gold appreciates because it is a reliable, hard currency.",,,,"【释】v. 感谢 to be grateful for","【例】Most grandmothers appreciate any gift that their grandchildren give them, even if it is homemade and inexpensive.",,,,,,,,,,,,,,,,"[sound:youdao-2483b014-c3725688-a83d61dc-6ff5eb93-93121040.mp3]",,"GRE::新东方GRE佛脚词改"
"reliable","[rɪˈlaɪəbl]","【释】adj. （结论、模型等）可靠的 giving the same result on successive trials","【例】During the Olympic trials, Johnny Gatlin gave reliable results, suggesting a minimum time he would receive in the finals.",,,"【反】random","【释】adj. 可依赖的 able to be trusted to do or provide what is needed","【例】Most companies appreciate reliable employees who are never late and show up for work when scheduled.",,,,,,,,,,,,,,,,"[sound:youdao-9cf3132b-8a827475-67ff61fd-f3f6f765-97e574a0.mp3]",,"GRE::新东方GRE佛脚词改"
"abandon","[əˈbændən]","【释】n. 放纵 a feeling or attitude of wild or complete freedom","【例】With reckless abandon, the college students drove off into the night with no plan in mind.","【选】desert",,,"【释】v. 放弃 to leave and never return to","【例】Abandoning his outpost, Bo Bergdahl was captured by rebellious soldiers.","【选】relinquish",,,,,,,,,,,,,,,"[sound:youdao-c4dac920-75d36f9c-d1a04bb0-895ba42a-609c9c70.mp3]",,"GRE::新东方GRE佛脚词改"
"harry","[ˈhæri]","【释】v. 打扰，骚扰 to disturb, distress, or exhaust by repeated demands or criticism","【例】The intern was consistently harried by his boss to deliver deadlines at an unreasonable speed.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-829548cb-adc36e0e-14316e0e-117018d3-8d6d1818.mp3]",,"GRE::新东方GRE佛脚词改"
"experimental","[ɪkˌsperɪˈmentl]","【释】adj. 新颖的，创新的 using a new way of doing or thinking about something","【例】For their use of new sonic landscapes and chord progressions, the Beatles are often considered the first experimental pop group.","【选】innovative",,,,,,,,,,,,,,,,,,,,"[sound:youdao-be969618-344d3443-6a0a1b16-4048a78e-3ac6641f.mp3]",,"GRE::新东方GRE佛脚词改"
"second","[ˈsekənd]","【释】v. 同意 to agree with ( a suggestion or statement)","【例】When Tom proposed that we order pizza, I seconded the suggestion and salivated at the thought of a delicious slice.",,,,"【释】v. 帮助，支持 to give support or encouragement to","【例】After John Adam's impassioned speech at the Second Continental Congress, the delegates seconded his vote in favor of ratifying the Declaration of Independence.",,,,,,,,,,,,,,,,"[sound:youdao-cd2acd15-23e96fac-13e23b91-ff4919a5-6ad41f60.mp3]",,"GRE::新东方GRE佛脚词改"
"usage","[ˈjuːsɪdʒ]","【释】n. 对待方式 manner of treating","【例】The caravan was in shambles after being subjected to very rough and frequent usage throughout the road trip.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-6575c600-acdb89fb-d6725d1f-0849f754-5fbc9b41.mp3]",,"GRE::新东方GRE佛脚词改"
