Word,Mixed Meaning
throughout,"<ul><li>Use the adverb throughout for things that keep going from beginning to end. If you mention your perfect grades several times throughout a conversation, your interviewer will know you're smart, but might also think you're kind of obnoxious.</li><li>Throughout means ""from start to finish,"" although it doesn't have to mean constantly from start to finish. Your brother might complain that you had to stop and pee throughout the entire road trip, but he doesn't mean you were literally doing it the whole time, just like every two hours. In academic writing, throughout, or sometimes passim (""throughout"" in Latin) is a way of saying that an idea shows up all over a book, not just on a certain page.</li></ul>"
thus,"<ul><li>Use the adverb thus in place of words like therefore or so when you want to sound proper.</li><li>Use thus interchangeably with words like consequently, ergo, hence, and just like that. For example, if you want to sound fancy you could say no one showed up for water aerobics, thus the class was cancelled. It had to be thus. Thus is also, rarely, a noun that means a good-smelling gum resin from trees that we don't really use anymore.</li></ul>"
tie,"<ul><li>A tie is a thin piece of cloth that's knotted around the neck, an accessory worn by men on formal occasions. You may wear a tie to graduation, a wedding, or if you're just trying to impress someone.</li><li>If the score of a game is equal, then the game is a tie. Some games, like chess, can actually end in a tie, but other games, like basketball, continue until there's a winner. You can also use the word tie as a verb: ""Looks like the game will tie at two apiece."" As a verb, tie also means to fasten two or more things together, like when you tie your shoelaces or your tie.</li></ul>"
timid,"<ul><li>Timid means ""overly cautious or fearful,"" like a timid driver who drives very slowly or avoids highways altogether.</li><li>Timid comes from the Middle French word timide, meaning ""easily frightened, shy."" Those who are timid often worry that things will go wrong: a timid eater orders bland food to avoid the possibility not liking the flavor of something new, just as a timid partygoer talks to people he already knows, afraid that he won't be able to talk to strangers.</li></ul>"
to be sure,
to some extent,
toil,"<ul><li>Toil is another word for work. You toil as a customer service rep all day, but you'd prefer to work as a rock goddess. Unfortunately, there weren't many ads in the employment section for goddesses — rock or otherwise.</li><li>Although toil means ""work"" (in both its noun and verb forms), it usually has the added meaning of hard work, especially physical labor.  If you'd lived during the Great Depression, you might have toiled on roadwork and conservation projects. Your toils would have created roads in the Great Smoky Mountains National Park, for example.  Thanks for all your hard work!  Now, relax and enjoy the scenery.</li></ul>"
tolerate,"<ul><li>The verb tolerate means ""to put up with or allow."" You can tolerate your sister's love of Broadway musicals but really, you prefer dramas.</li><li>Think of tolerate as the open-minded verb. It means you allow something to happen or exist, even if you don't really like it. For example, you don't like your neighbor's loud music but you tolerate because he only blasts it on Saturday afternoons. Scientifically speaking, when your body can tolerate a drug, poison or even pollution, it means you aren't harmed by it.</li></ul>"
toxic,"<ul><li>Danger! Hazardous! Do not eat! These are just some of the warnings you'll see on toxic substances — meaning stuff that's poisonous and even deadly.</li><li>Cobra bites, wild mystery mushrooms and strong chemicals are all toxic. So are certain people, if they have particularly mean personalities. Toxic is related to the word toxin, which is a kind of poison. It comes from the ancient Greek word toxikon, which means ""poison for arrows."" Some toxic arrows could come in handy for those toxic personalities...</li></ul>"
track,"<ul><li>If you document your study time and record all your exam scores, then you track your progress in school. In this case the verb track shows that you're following the path of something. The noun track can refer to a path of a more literal kind.</li><li>The noun track can describe a variety of paths, such as the rails that trains chug along, a course that racehorses run, or the big oval course in an ice rink.
If you're competing in a five-lap race and you have the fastest speed after the first four laps, you're on track to win the race. In this case the term ""on track"" is describing a figurative path, one that indicates you're in a good position to achieve what you want.</li></ul>"
tract,"<ul><li>A tract is a large, open piece of land — like that tract of farmland you bought when you decided your dream in life was to raise llamas. Tract is also a word for a short pamphlet or booklet, like that tract you recently read entitled ""The Care and Feeding of Llamas.""</li><li>In addition to referring to areas of land and small booklets, the word tract can describe complicated systems or structures in the body. If you were to unwind your intestine, an important part of your digestive tract, it would not stretch across a large tract of land, but only 25-28 feet — but that's still pretty long! (You probably don't need to read a tract on human anatomy to realize this would be an unhealthy experiment.)</li></ul>"
transfer,"<ul><li>If you are moving something from one place to another, like transferring money from your savings account to your checking account, you are transferring it. Or, if you've been moved from one job site to another — you, my friend, have been transferred.</li><li>Transfer can also be a noun that means the act of moving something from one form or location to another, so that money that was shifted from one account to another is considered a transfer. If you change something from one form to another, you can say that you transferred it. ""Her mother had transferred all the old 8mm home movies to video tape. Now she'd have to transfer them again using a more modern technology.""</li></ul>"
transformation,"<ul><li>A transformation is a dramatic change in form or appearance. An important event like getting your driver’s license, going to college, or getting married can cause a transformation in your life.</li><li>A transformation is an extreme, radical change. A simple haircut won't cause a transformation in your appearance, but if you dyed your hair purple and got a tattoo across your forehead, that would be another story. When a transformation occurs, we often use the phrase ""undergo a transformation"" in reference to the person or thing who has changed. So, if you do opt for the new hair color and tattoo, you will certainly have ""undergone a transformation.""</li></ul>"
transitory,"<ul><li>If something is fleeting or lasts a short time, it is transitory. Your boss declared the company's restructuring to be transitory, and promised that the company would emerge stronger and better than ever.</li><li>The adjective transitory describes something that is fleeting, temporary, or brief. Even a transitory storm that passes quickly can get you drenched. Consider it an honor to be on the transitory team that helps the president make a smooth transfer of power. When you met your first love, your parents thought that the relationship was transitory — but fifty years later, you're still married!</li></ul>"
trappings,"<ul><li>Big house, shiny new car, a custom-made suit, an expensive watch, cool sunglasses... If you have these things, you have the trappings of success, which means you own things that give you the outward appearance of success.</li><li>The word trappings originally described the decorations people attached to their horse's bridle and saddle. The goal was to make a statement about the rider's power and privilege. Today, we still have trappings, but they take other forms, such as expensive clothing with big logos or big diamond earrings. Trappings are material items that tell the world that someone has money — or a credit card — but not about who he or she is on the inside.</li></ul>"
trauma,"<ul><li>A trauma is a shock to the body or spirit. A car accident can cause physical trauma like broken bones while losing your dog on a walk is an emotional trauma.</li><li>When you think of trauma think of blunt force. Trauma tends to come on all at once and be quite serious. Someone who experiences trauma will have either a traumatic injury or traumatic distress. Try not to use this term lightly. If you say that having to wait twenty minutes for a burger was a trauma, people will rightly accuse you of drama.</li></ul>"
traumatic,"<ul><li>Something is traumatic if it's very upsetting, painful, or disturbing. The word is related to a Greek word meaning ""wound,"" so you can think of traumatic as something involving a wound, either physical or mental.</li><li>Your brother's reckless driving could make getting to school a traumatic experience in terms of your mental health. Traumatic can also describe a major physical injury, such as a traumatic brain injury. Post-traumatic stress disorder is a medical term used to describe the lasting and debilitating effects of something awful you've experienced, such as witnessing a disaster or suffering a major injury during combat.</li></ul>"
traverse,"<ul><li>The verb traverse means to travel across an extended area. ""Her dream was to traverse the country by car, so she could meet new people and see all the kitschy sites — like the giant roadside tire in Michigan or the shoe house in Pennsylvania.""</li><li>The verb traverse can also mean ""to span,"" to span a physical space or time. ""The bridge traversed the river, linking the two cities."" Traverse can be used for any crossing, but it often is used when implying the crossing will be difficult. ""She was exhausted from traveling in the snowy conditions, but she still had to traverse an icy bridge before she would arrive safely home.""</li></ul>"
tremendous,"<ul><li>Tremendous means extraordinarily large in size, extent, amount, power, or degree. It can also mean really marvelous and fantastic — or really awful and terrible.</li><li>We often use tremendous if something is super wonderful. If someone comes into your office and tells you you just won a big contract and are getting a huge bonus, you might exclaim, “Tremendous!” Tremendous comes from the Latin for ""trembling,"" and is connected with fear. Something tremendous can be big in a terrifying way, like the tremendous noise of an approaching hurricane, or a tremendous tidal wave about to crash on the shore.</li></ul>"
trend,"<ul><li>A trend is what's hip or popular at a certain point in time. While a trend usually refers to a certain style in fashion or entertainment, there could be a trend toward warmer temperatures (if people are following trends associated with global warming).</li><li>A trend simply reflects what seems to be going around at any given time. A trend can be in any area and doesn't only reflect fashion, pop culture and entertainment. There can also be a trend in the stock market to be bullish or bearish, depending on economic indicators, or  a political trend reflecting a nation’s current mood. Some trends are fun, some fabulous, some appalling, but however long they last, you can be sure there will always be a new trend coming along to replace the old.</li></ul>"
tricky,"<ul><li>If something is tricky, it's difficult, like a tricky puzzle. And if a person is tricky, they're sneaky, skilled, or crafty, like a tricky magician who makes it look easy to pull quarters out of your ears.</li><li>A tricky riddle is extremely hard to figure out, and a tricky question on a math test is even trickier if you can't use a calculator to solve it. In their 1986 rap classic, ""It's Tricky,"" Run-DMC claimed that ""it's tricky...to rock a rhyme that's right on time"" — or in other words, it's really difficult to write a clever rap lyric.</li></ul>"
trigger,"<ul><li>A trigger is a metal lever that when pulled discharges a gun. You shoot the gun by pulling the trigger. Trigger can also mean the start of a process––violent protests might trigger a revolution.</li><li>Certain scents, places, or old love songs can be said to trigger, or activate, memories. If you get weepy when you hear the national anthem, that may be because it triggers thoughts of family, home, baseball and the Fourth of July. For someone in frail health, a seemingly minor problem like getting a common cold, might trigger a series of physical responses that end up landing them in the hospital.</li></ul>"
truism,"<ul><li>Here's a truism for you: Only people who look up words they don't know can expand their vocabularies. Did you find that statement obvious, boring, and saying nothing new or interesting? That's the perfect description of a truism.</li><li>Sometimes truisms can be mistaken for factual statements. In fact, despite their seeming obviousness, they are usually opinions. Many people who look up words in the dictionary don't improve their vocabularies, as much as they'd like to. Another truism: You get what you pay for. Well, a lot of the time, sure, but not always. That's why the word bargain was invented.</li></ul>"
turbulent,"<ul><li>Turbulent means chaotic, disordered, characterized by conflict. A time of war is a turbulent time for a country. If your family moves and your parents get divorced, you might call that a turbulent period in your history.</li><li>This adjective also commonly describes unstable or violent movement in the atmosphere, or in oceans and rivers. When the pilot comes announces turbulent air or turbulence ahead, get ready for the plane to bump and shake. Turbulence has another specialized sense when describing an uneven flow of a liquid or gas.</li></ul>"
turn,"<ul><li>When you turn something, you rotate it or move it around an axis, the way you turn a key in a lock or turn a car's steering wheel.</li><li>Gears and wheels turn, and you can turn a screw with a screwdriver. You can also turn by shifting direction or changing position: ""She turned away from him when he started telling terrible jokes."" When you flip the page of a book, you turn that as well. And to transform or change is another way to turn: ""He turned pale when he saw the ghost."" Turn can also be used a noun meaning ""an act or instance of rotating."" And when you play a board game, you roll the dice when it's your turn.</li></ul>"
typical,"<ul><li>When something is typical, it is common, regular, expected — hanging out with friends and playing computer games are typical activities of American teens.</li><li>To be typical is to be of a type, meaning that a person or thing has the same characteristics of everyone or everything else in the group, like a typical student, trying to talk the teacher out of giving homework over break. Something that is typical is what you can expect, like reading a guidebook about a faraway country you will visit to learn the typical weather and kinds of food you will encounter while you are there.</li></ul>"
ubiquitous,"<ul><li>It's everywhere! It's everywhere! When something seems like it's present in all places at the same time, reach for the adjective ubiquitous.</li><li>""Cities like Singapore aim to cloak themselves in ubiquitous, free Wi-Fi in the next few years,"" The Wall Street Journal reported recently — meaning that those savvy Singaporeans will find a wireless connection everywhere they go. The word comes from the Latin ubique, meaning — you guessed it — ""everywhere."" The usual pronunciation is ""yoo-BIK-wih-tihs,"" but Joseph Heller must have had the older variant ""ooh-BIK-wih-tihs"" in mind when he wrote in Catch-22 that a character ""padded through the shadows fruitlessly like an ubiquitous spook.""</li></ul>"
ultimate,"<ul><li>The last in a series can be described as the ultimate. A cheeky kid, when asked what she wants to be when she grows up, might say, ""I want to be an actress, a singer, and a veterinarian, but my ultimate goal is to be President of the United States.""</li><li>A definition for the adjective ultimate is the furthest in space or time or the highest in degree or order. Traveling for business, you are flying first to London, then to Portugal, but your ultimate destination is South Africa. The kids ask you if they can invite friends over to play video games. It's a good idea to reply, ""Mom isn't home from work yet and she's ultimate authority on the schedule.""</li></ul>"
ultimately,"<ul><li>Ultimately means ""at the very end of the process."" Your strategy of robbing banks with a water gun worked a few times, but ultimately it was unsuccessful.</li><li>Use ultimately when you want to stress that there are many different elements of something, but in the end there's one clear conclusion. The city parks department might listen to everyone's ideas for what to do with that empty lot, but ultimately they'll do whatever they think will serve the city best. Ultimately comes from the Latin ultimāre, meaning, lying at the very end.</li></ul>"
unadorned,"<ul><li>Something unadorned has no decorations or frills. It's plain, like a room with nothing on the walls or a person wearing purely functional clothes and no accessories.</li><li>To adorn something is to decorate it or to dress it up. If something is unadorned, it lacks decorations. An unadorned Christmas tree is just a plain old pine tree. If a woman’s face is unadorned, she’s not wearing makeup. The unadorned truth is the plain truth, with no nonsense. This word means about the same as undecorated, and it can often mean dull. But that’s a matter of taste.</li></ul>"
unanimity,"<ul><li>When there is unanimity, everyone agrees. When it comes to opinion, unanimity is the opposite of disagreement.</li><li>Unanimity is a word for a group of people all being of one mind. If everyone in the country voted for the same person for president, that would be complete unanimity. Just like uniforms make people look alike, this similar word indicates people are thinking alike. Unanimity doesn't happen often, because people tend to disagree about everything. When there is disagreement, there's no unanimity.</li></ul>"
unconsolidated,
undergo,"<ul><li>Undergo means ""endure until something is complete."" You might undergo testing to check your hearing or undergo special training if you want to volunteer at a homeless shelter.</li><li>The verb undergo means ""experience"" or ""undertake."" It is often used to describe medical procedures, such as, an injured quarterback who will undergo shoulder surgery. The word implies that it is something that has to happen so that a positive change occurs, like healing in the case of the quarterback or greater communication skills for a hot-tempered person who undergoes anger management training.</li></ul>"
underlie,"<ul><li>While it’s true that when something underlies something else, it is beneath it, this does not necessarily mean subservience — it can also indicate a strong foundation or bedrock that underlies, or supports, an idea or decision.</li><li>The Old English word underlicgan meant to serve or submit to another, and that meaning does carry through to the modern word underlie — to a point. Although still referring to something under something else, around 1850 the meaning of the verb shifted to include something that makes a foundation for something else. For example, one factor that underlies a patient's unusual symptoms might be his recent trip to a foreign country, where he could have picked up a local infection.</li></ul>"
underlying,"<ul><li>The obvious meaning of underlying refers to something beneath something else. But the word carries a more subtle meaning, that of something hidden but important, something that shapes the meaning or effect of something else, without being explicit itself.</li><li>Consider the adjective underlying as referring to a ""subtext,"" which is something hidden. An example is sarcasm, when a person says one thing but means the opposite. In theater, an actor develops subtext for his or her character to establish an underlying reason for what that character says and does. Life is full of underlying reasons we do things. Worry over a grandparent's illness might be the underlying reason a child fails a test. (Then again, maybe she just didn't study.)</li></ul>"
underpinning,
underrate,"<ul><li>To underrate something is to underestimate its value. If critics underrate a great movie, they don't give it enough credit for its brilliant acting and well-written script.</li><li>If most people underrate the Polish restaurant in your neighborhood, they'll be pleasantly surprised once they give it a try. High school football players tend to underrate the importance of gracefulness in their sport, and your math teacher may underrate the amount of time it takes you to do your calculus homework. The verb underrate has been around since the 1640's, although back then it was generally spelled with a hyphen: under-rate.</li></ul>"
underscore,"<ul><li>To underscore is to draw special attention to a fact, idea, or situation. When you're involved in a debate, it’s wise to underscore the points that best support your argument.</li><li>Literally, underscore means “to underline,” or draw a line beneath a word to emphasize it. In common speech, to underscore something is to call attention to it. If a worker sustained an injury on the job, for instance, the event would underscore the need for workplace safety. Underscore is also used to mean  ""emphasize."" During a job interview, you want to underscore any experience that relates to the job you are applying for.</li></ul>"
undertake,"<ul><li>When you undertake a task or challenge, you attempt to accomplish it. If you want to undertake a verbal challenge right now, try saying “sushi chef” ten times quickly without messing up.</li><li>Way back in the 13th century, undertake meant “seize” or “entrap.” Of course, the meaning has shifted significantly since then, and we hope you don’t feel entrapped when you decide to undertake a project. However, undertake does convey a level of commitment and involvement that’s somewhat stronger than the words try or attempt might suggest.</li></ul>"
undertaking,"<ul><li>Painting a house is a serious undertaking––it looks simple but involves a lot of preparation and hard work. An undertaking is a job or a task you commit to. The word also can mean the profession of funeral management.</li><li>When you take something under consideration, it means you're not necessarily going to do it, you're just going to think about it. When you take something on, you've undertaken to actually do it. The word undertaking suggests something that involves quite a bit of work. Organizing an Oxfam hunger-day at your school is a significant undertaking, but it's worth all the effort.</li></ul>"
uneasy,"<ul><li>Uneasy describes an uncomfortable feeling. You might feel socially uneasy when dining with your girlfriend's parents if they don't like you very much. Your stomach may also feel uneasy at that same dinner and gurgle in an embarrassing way.</li><li>The adjective uneasy has many shades of meaning, most involving mild discomfort. It can refer to a lack of a sense of security. If McDonald's and Burger King team up to develop a new sandwich, that would be an uneasy alliance, because neither side would fully trust the other. Uneasy can also describe causing someone to feel anxious or nervous. If you see someone staring at you mumbling, ""That's him, that's the one,"" you might feel uneasy.</li></ul>"
uniform,"<ul><li>Uniform means the same. If your school has a uniform it means all the kids wear the same clothes. If you are told to make your handwriting uniform, they want your letters to be the same shape and size over and over.</li><li>When you break uniform down, you'll see uni for one, and form, for shape––things that are uniform have the shape. If you are building a Zombie Army, it's more fun to create zombies who are not uniform. Some can wear shredded shrouds, others can wear whatever they find. Some walk just fine, others leave body parts wherever they go.</li></ul>"
unintendedly,
uninterrupted,
unique,"<ul><li>If something is unique, it's the only one around. You might think getting a nose ring would make you unique, until you see five other people on the street with the same piercing.</li><li>If someone calls you unique you know that you are very special. The reason is that the Latin prefix uni- means ""one."" (Technically speaking, it isn't possible to be ""very unique"" — you either are or you're not.) Think of the prefix in unicorn for a creature with one horn and unicycle for a cycle with one wheel.</li></ul>"
unique to,
universally,"<ul><li>Use the adverb universally to emphasize that something is done — or felt, or believed — in every single case.</li><li>If your new haircut is universally loved, it means that everyone, everywhere — with no exceptions — is a fan of your super short bangs. You might also describe getting a filling at the dentist as universally disliked, or a brilliant sunny day as universally cheering after a week of rain. The root is Latin, the word universalis, ""of or belonging to all,"" which in turn comes from universus, ""whole or entire."" When a feeling or belief belongs to everyone, everywhere, it is held universally.</li></ul>"
unleash,"<ul><li>When you remove your dog's leash so she can run wildly across the beach, you unleash her — you set her loose. And when you unleash a storm of insults against your brother, you allow them to flow freely from your lips.</li><li>There are two ways to use the verb unleash. Literally, it means ""set loose,"" like when a police officer unleashes her trained dog to sniff luggage for illegal drugs, or a farmer unleashes her llama after moving it into a pen. Figuratively, you can unleash all kinds of emotions, forces, opinions, and actions. Unhappy citizens might unleash a series of high-profile protests, or a barrage of shouted demands, for example.</li></ul>"
unprecedented,"<ul><li>Something that is unprecedented is not known, experienced, or done before. If you've never gone on a family beach vacation but you're planning one now, you could refer to it as an unprecedented decision.</li><li>The root of this word is precedent, a noun referring to something done or said that is used as an example to be followed in the future. In law, a precedent is a legal decision that is used as a standard in future cases. So the adjective unprecedented, meaning ""having no precedent,"" was formed from the prefix un- ""not,"" the noun precedent, and the suffix –ed ""having.""</li></ul>"
unqualified,"<ul><li>If you're unqualified for something, you're not cut out to do it, often because you don't have the skills or knowledge you need. A dog trainer is most likely unqualified to perform brain surgery.</li><li>The adjective unqualified is good for describing someone who isn't fit for a task or job. You wouldn't want an unqualified dentist to fill your cavity, and an unqualified babysitter might not even know how to change a diaper or put a bandage on a scraped elbow. Another way people can be unqualified is when they lack some necessary document — you're unqualified to teach in a public school, for example, without a state teaching certificate.</li></ul>"
unreceptive,
unresolved,"<ul><li>The word unresolved may describe an argument that has not been solved, a question that remains unanswered, or a decision that has not been made — like the title of ""Checkers Champion"" after a tie game.</li><li>The word unresolved is used for a situation that lacks a resolution, or ending. It can also describe unaddressed emotions, such as anger or sadness, as in the unresolved issues you have toward your hamster ever since it bit your finger. The word unresolved can also be used to describe musical dissonance — if you hear a chord in a symphony that makes you think the song isn’t over, the chord is probably unresolved.</li></ul>"
unrestricted,"<ul><li>When something is unrestricted, it means there are no restrictions placed on it. A restriction is a rule about a way that something can be used.</li><li>If your parents give you a generous allowance with the restriction that a portion of it must be donated to charity and another portion saved, you might end up with less money than a friend who has a smaller, but unrestricted, allowance.</li></ul>"
unsophisticated,
unsuitable,"<ul><li>Something that's unsuitable doesn't work well or is out of place. A kitchen knife is unsuitable for sawing firewood.</li><li>You can use the adjective unsuitable to describe something that isn't well suited for a use: flip flops are unsuitable shoes to wear in a blizzard. It's also a good word for something that's disappointing or undesirable: ""No, that guy in the clown suit would be a completely unsuitable boyfriend for me."" At the root of unsuitable is the meaning of suit, ""be agreeable or convenient,"" that's thought to come from ""provide a suit of clothes.""</li></ul>"
unsurpassed,"<ul><li>Anything unsurpassed is the very best, superior to anything else. If the play you're watching is unsurpassed, you've never seen one that's better.</li><li>When one thing surpasses another, it goes way beyond in quality or achievement, often exceeding what you could've imagined. So if something (or someone) is unsurpassed, it's never been bested — in fact, it's the very greatest. This adjective is great for accomplishments that have never been outdone, like soccer star Pelé's unsurpassed record of the most World Cup wins.</li></ul>"
unwieldy,"<ul><li>If you see an unwieldy person coming down the aisle of the bus with an unwieldy box, you may want to step aside because that's a double dose of clumsy. It's an awkward person carrying a box that is difficult to manage.</li><li>Something that is wieldy is easy to control or handle, so something unwieldy is not. However, the un- form of the word is much more common. The base word wieldy has its roots in Old English, meaning ""to handle or control"" — used usually in reference to a weapon. You would not want an unwieldy person attempting to wield an unwieldy sword!</li></ul>"
urbane,"<ul><li>Urbane people are sophisticated, polished, cultured, refined. Spend enough time in an urban setting–-going to concerts and museums, spending time in crowds––and you'll be urbane too.</li><li>Both urbane and urban derive from the Latin urbanus, ""city,"" but while urban has connotations of gritty living and crime, urbane assumes that everyone sees the city from the roof deck of their penthouse apartment, drinking champagne and exchanging bon mots with friends. Add a Cole Porter soundtrack and the image is complete.</li></ul>"
utilitarian,"<ul><li>The adjective utilitarian describes something that is useful or functional. If you are attracted to a car for its storage space and gas mileage — as opposed to its sparkly tire rims — then chances are you value a car's utilitarian features.</li><li>The word utilitarian was coined by the philosopher and judge Jeremy Bentham, who argued that his principle of utility would create the ""greatest happiness for the greatest number of people."" The noun form of utilitarian refers to a person who adheres to this philosophy of usefulness. ""They couldn't agree on the decor for their living room. She wanted whimsy — delicate tables, fragile statues of fairies and unicorns, and cushions on the floor to sit on. He wanted something more utilitarian and useful — comfortable chairs, a giant TV, and sturdy tables to put your feet on.""</li></ul>"
utterly,"<ul><li>Utterly is an intensifying word: something utterly delicious is very, very delicious.</li><li>One thing people love to do is exaggerate. You often hear people talking about how awesome or awful things are. When you're laying it on thick, utterly is an utterly useful word: it means something similar to completely, totally, or very. Something utterly disappointing is extremely disappointing. Something utterly wonderful is wonderful times ten. When you get tired of writing very, utterly is a good word choice.</li></ul>"
vagary,"<ul><li>A vagary is an unexpected and unpredictable change, and the word is usually used in the plural. You might know from experience that the vagaries of winter weather make planning a vacation in February a risky proposition.</li><li>Vagary traces back to the Latin root meaning ""wander,"" and you can think of a vagary as something that wanders. Events or situations that seem to change at random have vagaries. Whether the hottest new boy band will succeed or not is dependent on the vagaries of teenage enthusiasms. The  vagaries of the real estate market will determine whether that swamp property you just bought is a gold mine or a disaster.</li></ul>"
vaguely,"<ul><li>Vaguely describes action that is unclear. If you vaguely recall meeting someone once before, you barely remember him or her, what you talked about, or even where you met.</li><li>The adverb vaguely probably comes from the Latin word vagus, which means “wandering,” or “uncertain.” Its origin is unclear, which is fitting for a word that means ""mistily."" If you don't want to go to your friend's tuba recital, you can say vaguely, ""I think I might have something else to do that night. But if I don't, I'll try to make it.""</li></ul>"
vanish,"<ul><li>A car driving into the distance, a member of a near-extinct species, or that last piece of pecan pie in the refrigerator — any of these things is likely to vanish soon, meaning ""to disappear.""</li><li>The word vanish entered English by way of French, but it can be traced back to the Latin word  evanescere, meaning to “die away” or “to dissipate.” The word covers all kinds of disappearing acts, from the  disappearance of an object or a person. You might, for example, vanish from school when the last bell rings on Friday. Things we can't see can also vanish, like the stress that vanishes when your big project is complete.</li></ul>"
variability,"<ul><li>The weather in San Francisco is known for its variability. One minute it's summer and the next, winter. Variability means the tendency to shift or change — of being ""variable.""</li><li>There are many words that contain vari-, and they almost all have to do with change or difference. Variability is the noun version of this idea. The variability of the weather means that you never know exactly what to wear. T-shirt or sweater: the choices vary along with the weather. Many things are known for their variability: the taste of teenagers, the talent of the singers on ""American Idol,"" Frank Sinatra's moods. These are just some of the things that exhibit real variability.</li></ul>"
variation,"<ul><li>Variation means a deviation from the norm, like the variation of colors in nature.</li><li>A variation from an accepted standard can be very important. For example, a variation in a heartbeat pattern can tell a doctor that a heart attack might be imminent. The variation in weather temperatures from what is expected indicates that our climate is changing due to global warming. But not all variation is a bad thing. For example, even within breeds, there is a wide variation in the coloration of dogs, a trait that makes each puppy uniquely lovable.</li></ul>"
varied,"<ul><li>Something is varied when it covers a wide range of things. If you start out eating eggs in the morning, then have a snack of sushi, then pizza for lunch, fresh fruit with your tea, and a beef stew for dinner, you have a varied diet.</li><li>The word varied comes from vary, which means ""to change, alter."" Think of varied as describing something that has many altered forms or has been changed often. There are many varied ideas on how to improve the economy. The artist has painted in varied styles as his interests have changed. And a varied workout routine will keep you from getting bored.</li></ul>"
vast,"<ul><li>If you’re in a boat out on the water and you can’t see any land, then the body of water you’re in is probably vast, or enormous.</li><li>Things that are described as vast include oceans, seas, the heavens, deserts, and the surface of the moon. Even places that can't be seen or touched, like imaginations, are called vast, because of the endless ideas that come out of them. Someone with a vast imagination is very creative, and a place with a vast landscape is very large. Possibilities are vast, and so are the vocabularies of the world, filling vast volumes.</li></ul>"
vastly,
vehicle,"<ul><li>A vehicle gets you or your stuff where it needs to go. Even though the grocery store is only a few block away, you'll probably want to use a vehicle to get there, so you won't have to carry your groceries all the way home.</li><li>A vehicle is anything that transports a person or thing, usually a car. But a vehicle can be a truck, a plane, a bus, a blimp or even a shopping cart, anything that transports people or things. Vehicle is also often used in the sense of a medium of expression. For example, if you're an artist, your art is the vehicle for your creative ideas. Some people believe that bread is just a vehicle for mayonnaise.</li></ul>"
versatile,"<ul><li>To describe a person or thing that can adapt to do many things or serve many functions, consider the adjective versatile.</li><li>In E.B. White's classic children's book Charlotte's Web, Charlotte the spider tells Wilbur the pig that she is versatile. ""What does 'versatile' mean — full of eggs?"" Wilbur asks. ""Certainly not,"" Charlotte replies. ""'Versatile' means I can turn with ease from one thing to another."" Charlotte knew her etymology, because the word reflects its Latin root, versatilis, ""turning around; revolving."" It eventually came to describe someone who is multi-talented: a singer-songwriter-actress-model would be a versatile figure in the entertainment world.</li></ul>"
via,
viability,"<ul><li>The noun viability means the quality of being able to happen or having a reasonable chance of success. The viability of holding your party at a restaurant might depend on how many guests they can seat.</li><li>Viability comes from the Latin root vita, meaning ""life."" So the noun viability also refers to something's capacity to live and grow. When your dog has a litter of puppies, you can't help wondering about the viability of the tiniest one, but if you feed him with an eyedropper and keep him warm, he might make it.</li></ul>"
vial,"<ul><li>The word vial sounds like another word, ""vile"" (making them homonyms), but they mean completely different things. A vial is just a small glass bottle that contains a chemical or drug. ""Vile"" is evil.</li><li>One of the coolest things about the English language is how specific you can get. For example, got a small glass bottle made for carrying chemicals or drugs? There's a word for that! That word is vial. There are bottles for soda and bottles for beer, but if what you're carrying is drugs, chemicals, or similar substances, you're carrying them in a vial.</li></ul>"
vibrant,"<ul><li>Vibrant colors are bright. Vibrant sounds are loud and resonant. Vibrant people are ones you remember — they're bright and full of personality.</li><li>Vibrant was originally intended to describe sounds. Sound waves vibrate, and when they vibrate more rapidly, they sound brighter. Singers and string instrument players increase this effect by shaking the notes they play through a technique called vibrato that increases the vibrancy of their sound.</li></ul>"
vicinity,"<ul><li>If something is in your vicinity, it's in the surrounding area or nearby region — it's in the neighborhood, so to speak. If there's a garbage dump in your vicinity, you'll certainly smell it.</li><li>The noun vicinity evolved from the Latin vicinitas, which means “of or pertaining to neighbors or a neighborhood.” Not until 1796 did the word expand in meaning to also describe a “surrounding district.” Said American author Washington Irving, “A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles.” Slang for vicinity include neck of the woods and turf.</li></ul>"
vigor,"<ul><li>If your new puppy runs all over the house, jumps on the furniture, and enthusiastically chews up your socks,  you may congratulate yourself on your new pup's vigor, or lively sense of energy.</li><li>Aside from mental or physical vitality, the noun vigor can be applied to an imaginative style of thought or expression and also to a forceful intensity. ""The jury was not only willing to acquit the defendant, but also nominate him for sainthood, by the time his attorney had delivered, with vigor, an impassioned plea for his client's innocence.""</li></ul>"
vigorous,"<ul><li>Anything vigorous is done with force and energy. Vigorous exercise makes you sweat, and a vigorous denial makes someone else sweat.</li><li>Vigorous is a description for something strong or enthusiastic. It comes from the French word vigour, meaning ""liveliness, activity."" An active, physically energetic person is vigorous, and mental activities can be vigorous too, when they require a lot of mental effort. A vigorous argument doesn’t have to include physical wrestling; it just might involve verbal sparring.</li></ul>"
